icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
4b1816,EDW752X ,Switzerland,1728145455.0,1728145455,8.5634,47.4571,426.72,False,44.54,276.63,0.0,,,1000,False,0
aa8c39,UAL1890 ,United States,1728145454.0,1728145455,-111.1215,37.8265,11277.6,False,266.05,78.62,0.0,,11871.96,7276,False,0
ad4f1c,ERU957  ,United States,1728145455.0,1728145455,-81.4529,29.3167,739.14,False,45.28,21.32,-0.33,,769.62,,False,0
aa56da,UAL1107 ,United States,1728145455.0,1728145456,-106.6643,35.4108,11277.6,False,254.26,123.53,0.0,,11902.44,,False,0
a33b55,N307WP  ,United States,1728145455.0,1728145455,-96.9043,34.3252,7307.58,False,128.95,192.21,0.0,,7711.44,,False,0
88044e,AIQ3014 ,Thailand,1728145455.0,1728145455,99.7367,12.1906,11285.22,False,228.78,19.58,0.0,,12077.7,,False,0
aa9321,UAL130  ,United States,1728145277.0,1728145277,-99.0956,47.9813,11277.6,False,286.23,101.61,0.0,,11361.42,,False,0
a53edd,GPD437  ,United States,1728145453.0,1728145455,-79.4077,42.0773,2720.34,False,131.19,270.67,-4.23,,2842.26,3336,False,0
a678de,N516MT  ,United States,1728145446.0,1728145447,-102.709,43.4581,2590.8,False,64.41,328.72,0.33,,2636.52,,False,0
ade18c,AAL2387 ,United States,1728145454.0,1728145455,-98.0579,32.996,5524.5,False,218.4,291.12,9.1,,5844.54,,False,0
ad19bc,EJA943  ,United States,1728145455.0,1728145455,-95.0165,30.0472,3970.02,False,189.72,252.65,-5.2,,4160.52,1531,False,0
a4d862,N411FP  ,United States,1728145455.0,1728145455,-79.5392,42.0243,952.5,False,56.88,24.02,-0.98,,1013.46,,False,0
ab6fdd,AAL1655 ,United States,1728145455.0,1728145455,-112.1087,35.9764,10972.8,False,220.29,248.35,0.0,,11597.64,6246,False,0
a3b87f,DAL2062 ,United States,1728145455.0,1728145455,-97.8172,31.6599,8816.34,False,230.15,23.59,4.88,,9311.64,,False,0
c07d20,JZA420  ,Canada,1728145456.0,1728145456,-112.8208,53.5577,7620.0,False,155.72,13.76,0.0,,7642.86,4602,False,0
440da5,EJU16JE ,Austria,1728145456.0,1728145456,8.7528,44.6877,5143.5,False,179.24,2.8,-10.73,,5280.66,1000,False,0
a4b205,N401TD  ,United States,1728145456.0,1728145456,-74.044,40.625,243.84,False,49.45,2.98,2.93,,297.18,4331,False,0
880453,AIQ4113 ,Thailand,1728145455.0,1728145455,100.7786,13.7585,403.86,False,74.37,194.42,-4.55,,434.34,,False,0
880452,AIQ120  ,Thailand,1728145442.0,1728145442,98.1887,15.1085,10972.8,False,222.02,296.86,0.0,,11719.56,,False,0
80162f,VTI716  ,India,1728145455.0,1728145455,77.2582,28.506,998.22,False,88.46,283.79,-4.23,,967.74,,False,0
a21b66,N235DH  ,United States,1728145455.0,1728145455,-81.7397,36.1651,1432.56,False,62.2,249.17,1.95,,1493.52,,False,0
880457,AIQ170  ,Thailand,1728145456.0,1728145456,79.1927,11.7845,10972.8,False,235.6,242.99,0.65,,11750.04,,False,0
a305fd,SKW3630 ,United States,1728145443.0,1728145443,-123.1714,49.1992,,True,3.6,28.12,,,,,False,0
a34230,EJA309  ,United States,1728145451.0,1728145451,-120.0072,35.6589,7467.6,False,207.99,144.46,-4.88,,7924.8,,False,0
aa56d8,UAL3868 ,United States,1728145455.0,1728145455,-88.2449,42.0051,1158.24,False,115.42,103.66,0.33,,1219.2,,False,0
4b1804,SWR8GF  ,Switzerland,1728145455.0,1728145455,4.2008,47.9002,10972.8,False,194.34,326.77,0.0,,11277.6,5766,False,0
4b1805,SWR1BM  ,Switzerland,1728145455.0,1728145456,4.1475,42.2252,11887.2,False,236.05,204.05,0.0,,12336.78,5716,False,0
39d228,FHURI3  ,France,1728145454.0,1728145454,9.4957,42.7397,2423.16,False,49.84,314.58,4.88,,2438.4,,False,0
a34e6a,ENY3649 ,United States,1728145456.0,1728145456,-83.6093,32.6146,7620.0,False,231.15,145.89,-0.33,,8069.58,,False,0
a90ea8,DAL3191 ,United States,1728145343.0,1728145346,-81.2346,32.129,45.72,False,69.97,90.84,-3.9,,60.96,,False,0
4b1808,SWR9ZC  ,Switzerland,1728145455.0,1728145455,13.5633,45.2578,10668.0,False,253.51,121.98,0.0,,10789.92,3004,False,0
a1fb56,,United States,,1728145452,,,,False,76.4,328.77,0.0,,,,False,0
80163c,IGO583  ,India,1728145455.0,1728145455,88.4992,23.2259,11590.02,False,232.32,184.83,-0.33,,12352.02,2601,False,0
801649,IGO6272 ,India,1728145196.0,1728145197,82.5995,22.0129,10401.3,False,237.49,248.66,3.25,,11071.86,1460,False,0
ae0197,SPAR824 ,United States,1728145455.0,1728145455,-90.8661,38.8741,7764.78,False,191.45,292.43,7.15,,8161.02,,False,0
a5f848,N484JL  ,United States,1728145417.0,1728145417,-87.4171,36.6279,137.16,False,32.58,164.43,-7.15,,205.74,,False,0
ab63b2,KAP14   ,United States,1728145456.0,1728145456,-70.5631,41.4629,1028.7,False,56.15,346.22,6.5,,1074.42,,False,0
39823b,FPXHR   ,France,1728145437.0,1728145438,2.83,47.3944,2286.0,False,77.98,104.13,0.0,,2346.96,7011,False,0
a3687e,AJT199  ,United States,1728145455.0,1728145455,-81.3767,30.1547,10668.0,False,240.56,357.06,0.0,,11308.08,2374,False,0
a52bbb,N432NC  ,United States,1728145456.0,1728145456,-87.0332,36.1436,1120.14,False,67.38,200.1,0.0,,1196.34,,False,0
4b1802,SWR194P ,Switzerland,1728145455.0,1728145455,15.6254,46.2409,11277.6,False,245.53,109.46,0.0,,11384.28,3011,False,0
acdfa6,AAL1523 ,United States,1728145455.0,1728145455,-97.9069,33.5157,4655.82,False,191.45,120.7,-12.68,,4945.38,,False,0
ab63b4,WSN6    ,United States,1728145456.0,1728145456,-118.5963,34.0841,2118.36,False,127.73,2.77,0.0,,2263.14,,False,0
a71e29,N558LM  ,United States,1728145189.0,1728145194,-156.8957,60.942,11780.52,False,240.94,263.13,-7.15,,11361.42,4734,False,0
801657,AIC770  ,India,1728145455.0,1728145455,77.7543,28.3773,3520.44,False,129.73,291.89,-5.2,,3642.36,,False,0
a3b88e,AAL1208 ,United States,1728145455.0,1728145455,-105.409,32.0467,10972.8,False,223.97,262.87,0.0,,11620.5,,False,0
aa9f3f,SWA2821 ,United States,1728145455.0,1728145455,-103.3436,36.302,11277.6,False,248.99,70.07,0.33,,11864.34,,False,0
4952cb,TAP436  ,Portugal,1728145455.0,1728145455,-2.259,46.1038,10972.8,False,238.71,33.48,0.0,,11384.28,5247,False,0
4952cc,TAP72PA ,Portugal,1728145456.0,1728145456,3.7673,51.4143,5577.84,False,211.74,25.01,-14.63,,5745.48,2212,False,0
4952cd,TAP781  ,Portugal,1728145455.0,1728145455,-6.9275,41.9718,10652.76,False,220.52,208.42,0.0,,11178.54,0754,False,0
acdfa3,ASA289  ,United States,1728145456.0,1728145456,-114.9871,34.9996,10363.2,False,223.67,242.32,0.0,,10980.42,1103,False,0
a665c5,GJS4397 ,United States,1728145456.0,1728145456,-87.8524,41.7516,2453.64,False,134.01,183.52,16.26,,2575.56,,False,0
a928bc,N69DV   ,United States,1728145455.0,1728145455,-76.7867,39.0303,60.96,False,17.68,351.63,-0.33,,99.06,,False,0
a10e8b,UAL1536 ,United States,1728145455.0,1728145455,-88.0827,36.398,11887.2,False,244.25,48.76,0.0,,12428.22,2773,False,0
a5f875,N484LF  ,United States,1728145455.0,1728145455,-75.6298,41.1025,1295.4,False,60.07,343.58,0.0,,1356.36,,False,0
aadc2b,N79920  ,United States,1728145455.0,1728145455,-74.8322,40.6122,670.56,False,38.24,340.35,5.2,,731.52,,False,0
80160b,IGO2391 ,India,1728145454.0,1728145455,76.8065,27.2532,8153.4,False,222.39,177.88,9.1,,8618.22,,False,0
a3a575,,United States,1728145345.0,1728145345,-77.0407,38.8533,,True,0.9,70.31,,,,,False,0
ad19f2,SKW5640 ,United States,1728145455.0,1728145455,-87.9937,41.9655,434.34,False,75.62,90.0,-4.55,,457.2,,False,0
a22236,N23676  ,United States,1728145456.0,1728145456,-122.2249,39.4947,1958.34,False,67.42,1.75,0.65,,2049.78,,False,0
a23565,TRF41   ,United States,1728145454.0,1728145454,-96.8346,33.4761,1318.26,False,67.16,275.27,1.95,,1409.7,,False,0
a84528,N63199  ,United States,1728145090.0,1728145443,-97.8861,32.6214,1310.64,False,48.38,315.43,0.0,,1386.84,,False,0
aaa6e4,,United States,1728145435.0,1728145435,-3.5694,40.4967,,True,1.54,81.56,,,,,False,0
abacb6,SCX8247 ,United States,1728145455.0,1728145455,-96.6837,39.8709,11277.6,False,256.91,76.21,0.0,,11757.66,6757,False,0
a652a6,N5060V  ,United States,1728145455.0,1728145455,-83.9439,39.7659,662.94,False,70.22,219.05,-1.63,,739.14,1203,False,0
ac96be,AAL880  ,United States,1728145455.0,1728145456,-116.0947,34.1247,9890.76,False,213.96,263.23,-5.2,,10492.74,5075,False,0
c06a11,TLK324  ,Canada,1728145435.0,1728145435,-78.4555,30.3936,13197.84,False,189.52,6.55,8.45,,13533.12,5720,False,0
aa69db,ENY3360 ,United States,1728145130.0,1728145155,-97.0259,32.9358,236.22,False,63.28,180.47,-3.58,,274.32,3307,False,0
80160e,IGO6149 ,India,1728145394.0,1728145396,78.3294,9.8973,10363.2,False,240.35,215.15,0.0,,10995.66,,False,0
a57b3f,WUP452  ,United States,1728145455.0,1728145455,-86.8442,41.4515,5364.48,False,196.66,294.08,-14.63,,5608.32,4016,False,0
4057df,GOCRZ   ,United Kingdom,1728145385.0,1728145385,-1.3783,51.4536,434.34,False,43.19,282.38,-0.98,,457.2,,False,0
aaa6dd,AAL95   ,United States,1728145455.0,1728145455,-73.7812,40.2533,838.2,False,135.29,281.18,0.0,,899.16,0740,False,0
aaf656,VXP358  ,United States,1728145455.0,1728145455,-82.2991,29.0612,11582.4,False,227.11,346.91,0.0,,12298.68,6653,False,0
a46e40,DAL2886 ,United States,1728145454.0,1728145455,-97.6632,30.203,,True,2.06,199.69,,,,1137,False,0
a57b4d,UAL1383 ,United States,1728145455.0,1728145455,-108.8663,32.3247,10972.8,False,221.77,278.81,0.0,,11673.84,,False,0
511158,TKJ7LQ  ,Estonia,1728145440.0,1728145454,31.6344,40.4793,9441.18,False,227.02,87.92,0.33,,9890.76,,False,0
ad06d3,N9388B  ,United States,1728145456.0,1728145456,-76.4966,38.8945,670.56,False,59.43,131.14,0.65,,723.9,,False,0
a6aec4,N53HA   ,United States,1728145455.0,1728145455,-77.113,42.7835,4792.98,False,197.55,52.83,-8.45,,4930.14,6620,False,0
a6c8cd,VJA536  ,United States,1728145448.0,1728145448,-114.2729,38.3852,12496.8,False,252.06,105.99,-0.33,,13129.26,,False,0
511156,IGO979  ,Estonia,1728145455.0,1728145455,78.499,15.449,10363.2,False,241.36,212.2,-0.33,,11010.9,,False,0
c047d8,CGBFJ   ,Canada,1728145455.0,1728145455,-80.1198,44.185,960.12,False,50.86,172.44,0.98,,1021.08,1200,False,0
440daf,EJU48ME ,Austria,1728145443.0,1728145443,8.7214,45.6446,,True,4.37,154.69,,,,,False,0
a5de65,N47767  ,United States,1728145456.0,1728145456,-99.1701,32.1768,3108.96,False,63.26,301.36,-0.33,,3246.12,,False,0
a22248,N2368P  ,United States,1728145455.0,1728145455,-80.9898,29.1981,121.92,False,22.78,154.59,-0.33,,129.54,,False,0
a22e7e,N24JR   ,United States,1728145455.0,1728145455,-93.5548,31.537,13716.0,False,217.9,287.02,0.0,,14363.7,2620,False,0
4952c7,TAP1350 ,Portugal,1728145456.0,1728145456,-0.4954,51.275,2705.1,False,138.97,44.4,-2.6,,2766.06,5241,False,0
a042ff,N116FE  ,United States,1728145254.0,1728145254,-86.0501,33.3755,1158.24,False,129.53,333.33,-2.93,,1257.3,1065,False,0
4952c8,TAP1364 ,Portugal,1728145455.0,1728145455,-9.1931,38.6736,1668.78,False,116.94,202.5,17.88,,1805.94,4710,False,0
488252,SAH48P  ,Poland,1728145455.0,1728145455,7.8494,47.3106,12504.42,False,242.57,154.9,0.0,,12801.6,6370,False,0
4b180c,SWR2PD  ,Switzerland,1728145456.0,1728145456,12.1053,42.911,10668.0,False,271.64,128.54,0.0,,10881.36,0462,False,0
acf9cf,SCA35   ,United States,1728145455.0,1728145456,-111.8727,33.5507,716.28,False,50.12,125.81,0.0,,731.52,,False,0
407a05,EZY3169 ,United Kingdom,1728145455.0,1728145455,24.0747,41.9157,11292.84,False,218.32,136.34,0.0,,11650.98,5230,False,0
39de45,TVF958R ,France,1728145456.0,1728145456,-3.2731,41.8962,11582.4,False,234.81,28.53,-0.33,,12108.18,5430,False,0
a84509,N6319C  ,United States,1728145300.0,1728145300,-73.4142,40.7205,-30.48,False,30.35,0.0,-2.28,,7.62,,False,0
440db0,EJU83WU ,Austria,1728145455.0,1728145455,-1.9019,41.2705,11590.02,False,234.37,39.21,-0.65,,12153.9,4543,False,0
ac2f5a,SWA435  ,United States,1728145455.0,1728145455,-109.8092,37.5282,11277.6,False,247.9,57.63,0.0,,11871.96,7342,False,0
ab63d7,DAL390  ,United States,1728145455.0,1728145455,-88.9178,34.8624,10668.0,False,256.2,100.29,0.0,,11201.4,1635,False,0
8a02ca,AWQ259  ,Indonesia,1728145375.0,1728145375,101.3717,10.6347,10477.5,False,238.59,170.94,3.58,,11216.64,,False,0
ad694c,SWA2377 ,United States,1728145455.0,1728145455,-105.5415,31.7269,11887.2,False,248.82,97.96,0.0,,12588.24,,False,0
407a06,EZY3285 ,United Kingdom,1728145455.0,1728145455,27.9924,39.0037,11887.2,False,231.2,129.85,0.0,,12382.5,3410,False,0
801632,AKJ133K ,India,1728145414.0,1728145437,76.9586,14.2477,9243.06,False,212.79,147.54,-9.1,,9806.94,,False,0
801633,AKJ1135 ,India,1728145455.0,1728145455,90.5524,25.5867,7924.8,False,213.31,236.31,5.2,,8420.1,2612,False,0
a46e35,DAL1782 ,United States,1728145373.0,1728145418,-81.1274,24.3605,10668.0,False,250.32,182.83,-0.33,,11353.8,2505,False,0
aa69e0,JRE770  ,United States,1728145455.0,1728145456,-86.7668,33.296,13106.4,False,167.81,249.73,0.0,,13708.38,,False,0
a34215,EDV5241 ,United States,1728145456.0,1728145456,-78.3016,39.4854,7284.72,False,208.04,53.24,-5.2,,7574.28,7231,False,0
39de40,TVF44NW ,France,1728145455.0,1728145455,-4.5075,39.0159,11277.6,False,222.22,212.33,0.0,,11864.34,7660,False,0
a2355d,SKW3718 ,United States,1728145455.0,1728145455,-112.1542,38.779,9989.82,False,227.19,186.24,7.15,,10515.6,,False,0
a5de4a,N4776E  ,United States,1728145455.0,1728145455,-82.8503,28.1861,731.52,False,44.25,89.33,-4.55,,769.62,,False,0
39de43,TVF14KM ,France,1728145456.0,1728145456,2.5787,46.6059,11269.98,False,250.67,175.88,0.0,,11643.36,7620,False,0
ac2f83,SWA1566 ,United States,1728145455.0,1728145455,-81.1648,31.5312,11582.4,False,230.26,186.16,0.0,,12245.34,1401,False,0
511187,MBU6597 ,Estonia,1728145454.0,1728145454,17.7766,42.8248,10988.04,False,230.84,324.43,0.0,,11155.68,3741,False,0
e8023b,,Chile,1728145292.0,1728145292,-71.4095,-34.6526,10104.12,False,218.03,24.39,-0.33,,10797.54,,False,0
3c6667,DLH28E  ,Germany,1728145455.0,1728145455,5.2568,45.0317,10668.0,False,231.46,229.87,-0.33,,10972.8,0631,False,0
acd3a4,CXK609  ,United States,1728145456.0,1728145456,-111.6301,40.1232,1531.62,False,43.95,62.84,2.6,,1630.68,,False,0
a2228b,ASA1057 ,United States,1728145455.0,1728145455,-121.0014,40.254,11582.4,False,238.01,342.0,-0.33,,12169.14,,False,0
aad012,UAL984  ,United States,1728145455.0,1728145455,-91.2725,45.0721,10363.2,False,221.58,252.15,0.0,,10690.86,,False,0
ad5658,N959CR  ,United States,1728145441.0,1728145455,-104.4968,38.2836,,True,0.0,174.38,,,,,False,0
aadc4a,N7993W  ,United States,1728145420.0,1728145442,-95.8122,30.3054,640.08,False,49.29,71.75,0.0,,693.42,,False,0
acdfdf,N929CV  ,United States,1728145456.0,1728145456,-74.4005,40.173,1158.24,False,81.2,292.34,0.33,,1211.58,3510,False,0
4acb03,NSZ3782 ,Sweden,1728145455.0,1728145455,16.8726,52.8607,11887.2,False,228.99,141.84,0.0,,12001.5,6034,False,0
4acb02,NSZ3716 ,Sweden,1728145455.0,1728145456,3.532,50.0896,11277.6,False,234.81,204.6,0.0,,11559.54,0750,False,0
ad4f72,,United States,1728145420.0,1728145423,-77.4385,24.8968,10363.2,False,226.18,356.87,-0.33,,11018.52,,False,0
4acb04,NSZ3GC  ,Sweden,1728145456.0,1728145456,12.0104,55.3557,1889.76,False,137.79,71.5,-3.9,,1973.58,4611,False,0
